System,Tube,Control type,Cassette,Bearing deduction,Control deduction
Evolve,44,Drive - Somfy Sonesse 40 RTS WF,Separate fascia,16,18
Evolve,52,Drive - Somfy Sonesse 40 RTS WF,None,16,25
Evolve,52,Drive - Somfy Sonesse 40 RTS WF,Separate cassette,14,23
Evolve,52,Drive - Somfy Sonesse 40 RTS WF,Separate fascia,16,18
Evolve,65,Drive - Somfy Sonesse 40 RTS WF,None,19,27
Evolve,65,Drive - Somfy Sonesse 40 RTS WF,Separate cassette,17,25
Evolve,65,Drive - Somfy Sonesse 40 RTS WF,Separate fascia,19,20
Evolve,75,Drive - Somfy Sonesse 40 RTS WF,None,19,27
Evolve,75,Drive - Somfy Sonesse 40 RTS WF,Separate cassette,17,25
Evolve,75,Drive - Somfy Sonesse 40 RTS WF,Separate fascia,19,20
Evolve,44,Drive - Somfy Sonesse 40 RTS,None,16,25
Evolve,44,Drive - Somfy Sonesse 40 RTS,Separate cassette,14,23
Evolve,44,Drive - Somfy Sonesse 40 RTS,Separate fascia,16,18
Evolve,52,Drive - Somfy Sonesse 40 RTS,None,16,25
Evolve,52,Drive - Somfy Sonesse 40 RTS,Separate cassette,14,23
Evolve,52,Drive - Somfy Sonesse 40 RTS,Separate fascia,16,18
Evolve,65,Drive - Somfy Sonesse 40 RTS,None,19,27
Evolve,65,Drive - Somfy Sonesse 40 RTS,Separate cassette,17,25
Evolve,65,Drive - Somfy Sonesse 40 RTS,Separate fascia,19,20
Evolve,75,Drive - Somfy Sonesse 40 RTS,None,19,27
Evolve,75,Drive - Somfy Sonesse 40 RTS,Separate cassette,17,25
Evolve,75,Drive - Somfy Sonesse 40 RTS,Separate fascia,19,20
Evolve,44,Drive - Somfy Sonesse 40 WT,None,16,25
Evolve,44,Drive - Somfy Sonesse 40 WT,Separate cassette,14,23
Evolve,44,Drive - Somfy Sonesse 40 WT,Separate fascia,16,18
Evolve,52,Drive - Somfy Sonesse 40 WT,None,16,25
Evolve,52,Drive - Somfy Sonesse 40 WT,Separate cassette,14,23
Evolve,52,Drive - Somfy Sonesse 40 WT,Separate fascia,16,18
Evolve,65,Drive - Somfy Sonesse 40 WT,None,19,27
Evolve,65,Drive - Somfy Sonesse 40 WT,Separate cassette,17,25
Evolve,65,Drive - Somfy Sonesse 40 WT,Separate fascia,19,20
Evolve,75,Drive - Somfy Sonesse 40 WT,None,19,27
Evolve,75,Drive - Somfy Sonesse 40 WT,Separate cassette,17,25
Evolve,75,Drive - Somfy Sonesse 40 WT,Separate fascia,19,20
Evolve,44,Drive - Somfy Sonesse 40 Zigbee WF,None,16,23
Evolve,44,Drive - Somfy Sonesse 40 Zigbee WF,Separate cassette,14,21
Evolve,44,Drive - Somfy Sonesse 40 Zigbee WF,Separate fascia,16,17
Evolve,52,Drive - Somfy Sonesse 40 Zigbee WF,None,16,23
Evolve,52,Drive - Somfy Sonesse 40 Zigbee WF,Separate cassette,14,21
Evolve,52,Drive - Somfy Sonesse 40 Zigbee WF,Separate fascia,16,17
Evolve,65,Drive - Somfy Sonesse 40 Zigbee WF,None,19,24
Evolve,65,Drive - Somfy Sonesse 40 Zigbee WF,Separate cassette,17,22
Evolve,65,Drive - Somfy Sonesse 40 Zigbee WF,Separate fascia,19,19
Evolve,75,Drive - Somfy Sonesse 40 Zigbee WF,None,19,24
Evolve,75,Drive - Somfy Sonesse 40 Zigbee WF,Separate cassette,17,22
Evolve,75,Drive - Somfy Sonesse 40 Zigbee WF,Separate fascia,19,19
Evolve,44,Drive - Somfy Sonesse 40 Zigbee,None,16,23
Evolve,44,Drive - Somfy Sonesse 40 Zigbee,Separate cassette,14,21
Evolve,44,Drive - Somfy Sonesse 40 Zigbee,Separate fascia,16,17
Evolve,52,Drive - Somfy Sonesse 40 Zigbee,None,16,23
Evolve,52,Drive - Somfy Sonesse 40 Zigbee,Separate cassette,14,21
Evolve,52,Drive - Somfy Sonesse 40 Zigbee,Separate fascia,16,17
Evolve,65,Drive - Somfy Sonesse 40 Zigbee,None,19,24
Evolve,65,Drive - Somfy Sonesse 40 Zigbee,Separate cassette,17,22
Evolve,65,Drive - Somfy Sonesse 40 Zigbee,Separate fascia,19,19
Evolve,75,Drive - Somfy Sonesse 40 Zigbee,None,19,24
Evolve,75,Drive - Somfy Sonesse 40 Zigbee,Separate cassette,17,22
Evolve,75,Drive - Somfy Sonesse 40 Zigbee,Separate fascia,19,19
Evolve,65,Drive - Somfy Sonesse 50 RS485,None,19,35
Evolve,65,Drive - Somfy Sonesse 50 RS485,Separate cassette,17,33
Evolve,75,Drive - Somfy Sonesse 50 RS485,None,19,35
Evolve,75,Drive - Somfy Sonesse 50 RS485,Separate cassette,17,33
Evolve,65,Drive - Somfy Sonesse 50 RTS,None,19,35
Evolve,65,Drive - Somfy Sonesse 50 RTS,Separate cassette,17,33
Evolve,75,Drive - Somfy Sonesse 50 RTS,None,19,35
Evolve,75,Drive - Somfy Sonesse 50 RTS,Separate cassette,17,33
Evolve,65,Drive - Somfy Sonesse 50 WT,None,19,35
Evolve,65,Drive - Somfy Sonesse 50 WT,Separate cassette,17,33
Evolve,75,Drive - Somfy Sonesse 50 WT,None,19,35
Evolve,75,Drive - Somfy Sonesse 50 WT,Separate cassette,17,33
Evolve,44,End Slave Unit,None,25,6
Evolve,44,End Slave Unit,Separate cassette,23,8
Evolve,44,End Slave Unit,Separate fascia,18,6
Evolve,52,End Slave Unit,None,25,6
Evolve,52,End Slave Unit,Separate cassette,23,8
Evolve,52,End Slave Unit,Separate fascia,18,6
Evolve,65,End Slave Unit,None,26,9
Evolve,65,End Slave Unit,Separate cassette,24,11
Evolve,65,End Slave Unit,Separate fascia,20,9
Evolve,75,End Slave Unit,None,26,9
Evolve,75,End Slave Unit,Separate cassette,24,11
Evolve,75,End Slave Unit,Separate fascia,20,9
Evolve,44,Middle Slave Unit,None,6,16
Evolve,44,Middle Slave Unit,Separate cassette,8,14
Evolve,44,Middle Slave Unit,Separate fascia,6,16
Evolve,52,Middle Slave Unit,None,6,16
Evolve,52,Middle Slave Unit,Separate cassette,8,14
Evolve,52,Middle Slave Unit,Separate fascia,6,16
Evolve,65,Middle Slave Unit,None,9,19
Evolve,65,Middle Slave Unit,Separate cassette,11,17
Evolve,65,Middle Slave Unit,Separate fascia,9,19
Evolve,75,Middle Slave Unit,None,9,19
Evolve,75,Middle Slave Unit,Separate cassette,11,17
Evolve,75,Middle Slave Unit,Separate fascia,9,19
Evolve,44,Nice Era Action,Cassette,25,25
Evolve,44,Nice Era Action,Fascia,18,18
Evolve,44,Nice Era Action,None,25,25
Evolve,44,Nice Era Action,Separate cassette,23,23
Evolve,44,Nice Era Action,Separate fascia,18,18
Evolve,52,Nice Era Action,Cassette,25,25
Evolve,52,Nice Era Action,Fascia,18,18
Evolve,52,Nice Era Action,None,25,25
Evolve,52,Nice Era Action,Separate cassette,23,23
Evolve,52,Nice Era Action,Separate fascia,18,18
Evolve,65,Nice Era Action,Cassette,25,25
Evolve,65,Nice Era Action,Fascia,20,20
Evolve,65,Nice Era Action,None,25,25
Evolve,65,Nice Era Action,Separate cassette,23,23
Evolve,65,Nice Era Action,Separate fascia,20,20
Evolve,75,Nice Era Action,Cassette,25,25
Evolve,75,Nice Era Action,Fascia,20,20
Evolve,75,Nice Era Action,None,25,25
Evolve,75,Nice Era Action,Separate cassette,23,23
Evolve,75,Nice Era Action,Separate fascia,20,20
Evolve,44,Nice Era Edge,Cassette,25,25
Evolve,44,Nice Era Edge,Fascia,18,18
Evolve,44,Nice Era Edge,None,25,25
Evolve,44,Nice Era Edge,Separate cassette,23,23
Evolve,44,Nice Era Edge,Separate fascia,18,18
Evolve,52,Nice Era Edge,Cassette,25,25
Evolve,52,Nice Era Edge,Fascia,18,18
Evolve,52,Nice Era Edge,None,25,25
Evolve,52,Nice Era Edge,Separate cassette,23,23
Evolve,52,Nice Era Edge,Separate fascia,18,18
Evolve,65,Nice Era Edge,Cassette,25,25
Evolve,65,Nice Era Edge,Fascia,20,20
Evolve,65,Nice Era Edge,None,25,25
Evolve,65,Nice Era Edge,Separate cassette,23,23
Evolve,65,Nice Era Edge,Separate fascia,20,20
Evolve,75,Nice Era Edge,Cassette,25,25
Evolve,75,Nice Era Edge,Fascia,20,20
Evolve,75,Nice Era Edge,None,25,25
Evolve,75,Nice Era Edge,Separate cassette,23,23
Evolve,75,Nice Era Edge,Separate fascia,20,20
Evolve,44,Nice Era Mat ST,Cassette,25,25
Evolve,44,Nice Era Mat ST,Fascia,18,18
Evolve,44,Nice Era Mat ST,None,25,25
Evolve,44,Nice Era Mat ST,Separate cassette,23,23
Evolve,44,Nice Era Mat ST,Separate fascia,18,18
Evolve,52,Nice Era Mat ST,Cassette,25,25
Evolve,52,Nice Era Mat ST,Fascia,18,18
Evolve,52,Nice Era Mat ST,None,25,25
Evolve,52,Nice Era Mat ST,Separate cassette,23,23
Evolve,52,Nice Era Mat ST,Separate fascia,18,18
Evolve,65,Nice Era Mat ST,Cassette,25,25
Evolve,65,Nice Era Mat ST,Fascia,20,20
Evolve,65,Nice Era Mat ST,None,25,25
Evolve,65,Nice Era Mat ST,Separate cassette,23,23
Evolve,65,Nice Era Mat ST,Separate fascia,20,20
Evolve,75,Nice Era Mat ST,Cassette,25,25
Evolve,75,Nice Era Mat ST,Fascia,20,20
Evolve,75,Nice Era Mat ST,None,25,25
Evolve,75,Nice Era Mat ST,Separate cassette,23,23
Evolve,75,Nice Era Mat ST,Separate fascia,20,20
Evolve,44,Nice Era S,Cassette,25,25
Evolve,44,Nice Era S,Fascia,18,18
Evolve,44,Nice Era S,None,25,25
Evolve,44,Nice Era S,Separate cassette,23,23
Evolve,44,Nice Era S,Separate fascia,18,18
Evolve,52,Nice Era S,Cassette,25,25
Evolve,52,Nice Era S,Fascia,18,18
Evolve,52,Nice Era S,None,25,25
Evolve,52,Nice Era S,Separate cassette,23,23
Evolve,52,Nice Era S,Separate fascia,18,18
Evolve,65,Nice Era S,Cassette,25,25
Evolve,65,Nice Era S,Fascia,20,20
Evolve,65,Nice Era S,None,25,25
Evolve,65,Nice Era S,Separate cassette,23,23
Evolve,65,Nice Era S,Separate fascia,20,20
Evolve,75,Nice Era S,Cassette,25,25
Evolve,75,Nice Era S,Fascia,20,20
Evolve,75,Nice Era S,None,25,25
Evolve,75,Nice Era S,Separate cassette,23,23
Evolve,75,Nice Era S,Separate fascia,20,20
Evolve,44,Nice Era Smart,Cassette,25,25
Evolve,44,Nice Era Smart,Fascia,18,18
Evolve,44,Nice Era Smart,None,25,25
Evolve,44,Nice Era Smart,Separate cassette,23,23
Evolve,44,Nice Era Smart,Separate fascia,18,18
Evolve,52,Nice Era Smart,Cassette,25,25
Evolve,52,Nice Era Smart,Fascia,18,18
Evolve,52,Nice Era Smart,None,25,25
Evolve,52,Nice Era Smart,Separate cassette,23,23
Evolve,52,Nice Era Smart,Separate fascia,18,18
Evolve,65,Nice Era Smart,Cassette,25,25
Evolve,65,Nice Era Smart,Fascia,20,20
Evolve,65,Nice Era Smart,None,25,25
Evolve,65,Nice Era Smart,Separate cassette,23,23
Evolve,65,Nice Era Smart,Separate fascia,20,20
Evolve,75,Nice Era Smart,Cassette,25,25
Evolve,75,Nice Era Smart,Fascia,20,20
Evolve,75,Nice Era Smart,None,25,25
Evolve,75,Nice Era Smart,Separate cassette,23,23
Evolve,75,Nice Era Smart,Separate fascia,20,20
Evolve,44,Nice Era Star ST,Cassette,25,25
Evolve,44,Nice Era Star ST,Fascia,18,18
Evolve,44,Nice Era Star ST,None,25,25
Evolve,44,Nice Era Star ST,Separate cassette,23,23
Evolve,44,Nice Era Star ST,Separate fascia,18,18
Evolve,52,Nice Era Star ST,Cassette,25,25
Evolve,52,Nice Era Star ST,Fascia,18,18
Evolve,52,Nice Era Star ST,None,25,25
Evolve,52,Nice Era Star ST,Separate cassette,23,23
Evolve,52,Nice Era Star ST,Separate fascia,18,18
Evolve,65,Nice Era Star ST,Cassette,25,25
Evolve,65,Nice Era Star ST,Fascia,20,20
Evolve,65,Nice Era Star ST,None,25,25
Evolve,65,Nice Era Star ST,Separate cassette,23,23
Evolve,65,Nice Era Star ST,Separate fascia,20,20
Evolve,75,Nice Era Star ST,Cassette,25,25
Evolve,75,Nice Era Star ST,Fascia,20,20
Evolve,75,Nice Era Star ST,None,25,25
Evolve,75,Nice Era Star ST,Separate cassette,23,23
Evolve,75,Nice Era Star ST,Separate fascia,20,20
Evolve,44,Somfy Sonesse 28 RTS WF,Cassette,22,22
Evolve,44,Somfy Sonesse 28 RTS WF,Fascia,19,19
Evolve,44,Somfy Sonesse 28 RTS WF,None,22,22
Evolve,44,Somfy Sonesse 28 RTS WF,Separate cassette,20,20
Evolve,44,Somfy Sonesse 28 RTS WF,Separate fascia,19,19
Evolve,52,Somfy Sonesse 28 RTS WF,Cassette,22,22
Evolve,52,Somfy Sonesse 28 RTS WF,Fascia,19,19
Evolve,52,Somfy Sonesse 28 RTS WF,None,22,22
Evolve,52,Somfy Sonesse 28 RTS WF,Separate cassette,20,20
Evolve,52,Somfy Sonesse 28 RTS WF,Separate fascia,19,19
Evolve,65,Somfy Sonesse 28 RTS WF,Cassette,25,25
Evolve,65,Somfy Sonesse 28 RTS WF,Fascia,22,22
Evolve,65,Somfy Sonesse 28 RTS WF,None,25,25
Evolve,65,Somfy Sonesse 28 RTS WF,Separate cassette,23,23
Evolve,65,Somfy Sonesse 28 RTS WF,Separate fascia,22,22
Evolve,75,Somfy Sonesse 28 RTS WF,Cassette,25,25
Evolve,75,Somfy Sonesse 28 RTS WF,Fascia,22,22
Evolve,75,Somfy Sonesse 28 RTS WF,None,25,25
Evolve,75,Somfy Sonesse 28 RTS WF,Separate cassette,23,23
Evolve,75,Somfy Sonesse 28 RTS WF,Separate fascia,22,22
Evolve,44,Somfy Sonesse 28 Zigbee WF,Cassette,22,22
Evolve,44,Somfy Sonesse 28 Zigbee WF,Fascia,18,17
Evolve,44,Somfy Sonesse 28 Zigbee WF,None,22,22
Evolve,44,Somfy Sonesse 28 Zigbee WF,Separate cassette,20,20
Evolve,44,Somfy Sonesse 28 Zigbee WF,Separate fascia,18,17
Evolve,52,Somfy Sonesse 28 Zigbee WF,Cassette,22,22
Evolve,52,Somfy Sonesse 28 Zigbee WF,Fascia,18,17
Evolve,52,Somfy Sonesse 28 Zigbee WF,None,22,22
Evolve,52,Somfy Sonesse 28 Zigbee WF,Separate cassette,20,20
Evolve,52,Somfy Sonesse 28 Zigbee WF,Separate fascia,18,17
Evolve,65,Somfy Sonesse 28 Zigbee WF,Cassette,25,25
Evolve,65,Somfy Sonesse 28 Zigbee WF,Fascia,19,18
Evolve,65,Somfy Sonesse 28 Zigbee WF,None,25,25
Evolve,65,Somfy Sonesse 28 Zigbee WF,Separate cassette,23,23
Evolve,65,Somfy Sonesse 28 Zigbee WF,Separate fascia,19,18
Evolve,75,Somfy Sonesse 28 Zigbee WF,Cassette,25,25
Evolve,75,Somfy Sonesse 28 Zigbee WF,Fascia,19,18
Evolve,75,Somfy Sonesse 28 Zigbee WF,None,25,25
Evolve,75,Somfy Sonesse 28 Zigbee WF,Separate cassette,23,23
Evolve,75,Somfy Sonesse 28 Zigbee WF,Separate fascia,19,18
Evolve,44,Somfy Sonesse 30 DCT,Cassette,22,22
Evolve,44,Somfy Sonesse 30 DCT,Fascia,18,17
Evolve,44,Somfy Sonesse 30 DCT,None,22,22
Evolve,44,Somfy Sonesse 30 DCT,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 DCT,Separate fascia,18,17
Evolve,52,Somfy Sonesse 30 DCT,Cassette,22,22
Evolve,52,Somfy Sonesse 30 DCT,Fascia,18,17
Evolve,52,Somfy Sonesse 30 DCT,None,22,22
Evolve,52,Somfy Sonesse 30 DCT,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 DCT,Separate fascia,18,17
Evolve,65,Somfy Sonesse 30 DCT,Cassette,25,25
Evolve,65,Somfy Sonesse 30 DCT,Fascia,19,18
Evolve,65,Somfy Sonesse 30 DCT,None,25,25
Evolve,65,Somfy Sonesse 30 DCT,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 DCT,Separate fascia,19,18
Evolve,75,Somfy Sonesse 30 DCT,Cassette,25,25
Evolve,75,Somfy Sonesse 30 DCT,Fascia,19,18
Evolve,75,Somfy Sonesse 30 DCT,None,25,25
Evolve,75,Somfy Sonesse 30 DCT,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 DCT,Separate fascia,19,18
Evolve,44,Somfy Sonesse 30 RS485,Cassette,22,22
Evolve,44,Somfy Sonesse 30 RS485,Fascia,18,17
Evolve,44,Somfy Sonesse 30 RS485,None,22,22
Evolve,44,Somfy Sonesse 30 RS485,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 RS485,Separate fascia,18,17
Evolve,52,Somfy Sonesse 30 RS485,Cassette,22,22
Evolve,52,Somfy Sonesse 30 RS485,Fascia,18,17
Evolve,52,Somfy Sonesse 30 RS485,None,22,22
Evolve,52,Somfy Sonesse 30 RS485,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 RS485,Separate fascia,18,17
Evolve,65,Somfy Sonesse 30 RS485,Cassette,25,25
Evolve,65,Somfy Sonesse 30 RS485,Fascia,19,18
Evolve,65,Somfy Sonesse 30 RS485,None,25,25
Evolve,65,Somfy Sonesse 30 RS485,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 RS485,Separate fascia,19,18
Evolve,75,Somfy Sonesse 30 RS485,Cassette,25,25
Evolve,75,Somfy Sonesse 30 RS485,Fascia,19,18
Evolve,75,Somfy Sonesse 30 RS485,None,25,25
Evolve,75,Somfy Sonesse 30 RS485,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 RS485,Separate fascia,19,18
Evolve,44,Somfy Sonesse 30 RTS WF,Cassette,22,22
Evolve,44,Somfy Sonesse 30 RTS WF,Fascia,19,19
Evolve,44,Somfy Sonesse 30 RTS WF,None,22,22
Evolve,44,Somfy Sonesse 30 RTS WF,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 RTS WF,Separate fascia,19,19
Evolve,52,Somfy Sonesse 30 RTS WF,Cassette,22,22
Evolve,52,Somfy Sonesse 30 RTS WF,Fascia,19,19
Evolve,52,Somfy Sonesse 30 RTS WF,None,22,22
Evolve,52,Somfy Sonesse 30 RTS WF,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 RTS WF,Separate fascia,19,19
Evolve,65,Somfy Sonesse 30 RTS WF,Cassette,25,25
Evolve,65,Somfy Sonesse 30 RTS WF,Fascia,22,22
Evolve,65,Somfy Sonesse 30 RTS WF,None,25,25
Evolve,65,Somfy Sonesse 30 RTS WF,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 RTS WF,Separate fascia,22,22
Evolve,75,Somfy Sonesse 30 RTS WF,Cassette,25,25
Evolve,75,Somfy Sonesse 30 RTS WF,Fascia,22,22
Evolve,75,Somfy Sonesse 30 RTS WF,None,25,25
Evolve,75,Somfy Sonesse 30 RTS WF,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 RTS WF,Separate fascia,22,22
Evolve,44,Somfy Sonesse 30 RTS,Cassette,22,22
Evolve,44,Somfy Sonesse 30 RTS,Fascia,18,17
Evolve,44,Somfy Sonesse 30 RTS,None,22,22
Evolve,44,Somfy Sonesse 30 RTS,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 RTS,Separate fascia,18,17
Evolve,52,Somfy Sonesse 30 RTS,Cassette,22,22
Evolve,52,Somfy Sonesse 30 RTS,Fascia,18,17
Evolve,52,Somfy Sonesse 30 RTS,None,22,22
Evolve,52,Somfy Sonesse 30 RTS,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 RTS,Separate fascia,18,17
Evolve,65,Somfy Sonesse 30 RTS,Cassette,25,25
Evolve,65,Somfy Sonesse 30 RTS,Fascia,19,18
Evolve,65,Somfy Sonesse 30 RTS,None,25,25
Evolve,65,Somfy Sonesse 30 RTS,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 RTS,Separate fascia,19,18
Evolve,75,Somfy Sonesse 30 RTS,Cassette,25,25
Evolve,75,Somfy Sonesse 30 RTS,Fascia,19,18
Evolve,75,Somfy Sonesse 30 RTS,None,25,25
Evolve,75,Somfy Sonesse 30 RTS,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 RTS,Separate fascia,19,18
Evolve,44,Somfy Sonesse 30 Zigbee WF,Cassette,22,22
Evolve,44,Somfy Sonesse 30 Zigbee WF,Fascia,18,17
Evolve,44,Somfy Sonesse 30 Zigbee WF,None,22,22
Evolve,44,Somfy Sonesse 30 Zigbee WF,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 Zigbee WF,Separate fascia,18,17
Evolve,52,Somfy Sonesse 30 Zigbee WF,Cassette,22,22
Evolve,52,Somfy Sonesse 30 Zigbee WF,Fascia,18,17
Evolve,52,Somfy Sonesse 30 Zigbee WF,None,22,22
Evolve,52,Somfy Sonesse 30 Zigbee WF,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 Zigbee WF,Separate fascia,18,17
Evolve,65,Somfy Sonesse 30 Zigbee WF,Cassette,25,25
Evolve,65,Somfy Sonesse 30 Zigbee WF,Fascia,19,18
Evolve,65,Somfy Sonesse 30 Zigbee WF,None,25,25
Evolve,65,Somfy Sonesse 30 Zigbee WF,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 Zigbee WF,Separate fascia,19,18
Evolve,75,Somfy Sonesse 30 Zigbee WF,Cassette,25,25
Evolve,75,Somfy Sonesse 30 Zigbee WF,Fascia,19,18
Evolve,75,Somfy Sonesse 30 Zigbee WF,None,25,25
Evolve,75,Somfy Sonesse 30 Zigbee WF,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 Zigbee WF,Separate fascia,19,18
Evolve,44,Somfy Sonesse 30 Zigbee,Cassette,22,22
Evolve,44,Somfy Sonesse 30 Zigbee,Fascia,18,17
Evolve,44,Somfy Sonesse 30 Zigbee,None,22,22
Evolve,44,Somfy Sonesse 30 Zigbee,Separate cassette,20,20
Evolve,44,Somfy Sonesse 30 Zigbee,Separate fascia,18,17
Evolve,52,Somfy Sonesse 30 Zigbee,Cassette,22,22
Evolve,52,Somfy Sonesse 30 Zigbee,Fascia,18,17
Evolve,52,Somfy Sonesse 30 Zigbee,None,22,22
Evolve,52,Somfy Sonesse 30 Zigbee,Separate cassette,20,20
Evolve,52,Somfy Sonesse 30 Zigbee,Separate fascia,18,17
Evolve,65,Somfy Sonesse 30 Zigbee,Cassette,25,25
Evolve,65,Somfy Sonesse 30 Zigbee,Fascia,19,18
Evolve,65,Somfy Sonesse 30 Zigbee,None,25,25
Evolve,65,Somfy Sonesse 30 Zigbee,Separate cassette,23,23
Evolve,65,Somfy Sonesse 30 Zigbee,Separate fascia,19,18
Evolve,75,Somfy Sonesse 30 Zigbee,Cassette,25,25
Evolve,75,Somfy Sonesse 30 Zigbee,Fascia,19,18
Evolve,75,Somfy Sonesse 30 Zigbee,None,25,25
Evolve,75,Somfy Sonesse 30 Zigbee,Separate cassette,23,23
Evolve,75,Somfy Sonesse 30 Zigbee,Separate fascia,19,18
Evolve,44,Somfy Sonesse 40 IO,Cassette,25,25
Evolve,44,Somfy Sonesse 40 IO,Fascia,18,18
Evolve,44,Somfy Sonesse 40 IO,None,25,25
Evolve,44,Somfy Sonesse 40 IO,Separate cassette,23,23
Evolve,44,Somfy Sonesse 40 IO,Separate fascia,18,18
Evolve,52,Somfy Sonesse 40 IO,Cassette,25,25
Evolve,52,Somfy Sonesse 40 IO,Fascia,18,18
Evolve,52,Somfy Sonesse 40 IO,None,25,25
Evolve,52,Somfy Sonesse 40 IO,Separate cassette,23,23
Evolve,52,Somfy Sonesse 40 IO,Separate fascia,18,18
Evolve,65,Somfy Sonesse 40 IO,Cassette,26,27
Evolve,65,Somfy Sonesse 40 IO,Fascia,20,20
Evolve,65,Somfy Sonesse 40 IO,None,26,27
Evolve,65,Somfy Sonesse 40 IO,Separate cassette,24,25
Evolve,65,Somfy Sonesse 40 IO,Separate fascia,20,20
Evolve,75,Somfy Sonesse 40 IO,Cassette,26,27
Evolve,75,Somfy Sonesse 40 IO,Fascia,20,20
Evolve,75,Somfy Sonesse 40 IO,None,26,27
Evolve,75,Somfy Sonesse 40 IO,Separate cassette,24,25
Evolve,75,Somfy Sonesse 40 IO,Separate fascia,20,20
Evolve,44,Somfy Sonesse 40 RS485,Cassette,23,23
Evolve,44,Somfy Sonesse 40 RS485,Fascia,18,17
Evolve,44,Somfy Sonesse 40 RS485,None,23,23
Evolve,44,Somfy Sonesse 40 RS485,Separate cassette,21,21
Evolve,44,Somfy Sonesse 40 RS485,Separate fascia,18,17
Evolve,52,Somfy Sonesse 40 RS485,Cassette,23,23
Evolve,52,Somfy Sonesse 40 RS485,Fascia,18,17
Evolve,52,Somfy Sonesse 40 RS485,None,23,23
Evolve,52,Somfy Sonesse 40 RS485,Separate cassette,21,21
Evolve,52,Somfy Sonesse 40 RS485,Separate fascia,18,17
Evolve,65,Somfy Sonesse 40 RS485,Cassette,24,24
Evolve,65,Somfy Sonesse 40 RS485,Fascia,18,17
Evolve,65,Somfy Sonesse 40 RS485,None,24,24
Evolve,65,Somfy Sonesse 40 RS485,Separate cassette,22,22
Evolve,65,Somfy Sonesse 40 RS485,Separate fascia,18,17
Evolve,75,Somfy Sonesse 40 RS485,Cassette,24,24
Evolve,75,Somfy Sonesse 40 RS485,Fascia,18,17
Evolve,75,Somfy Sonesse 40 RS485,None,24,24
Evolve,75,Somfy Sonesse 40 RS485,Separate cassette,22,22
Evolve,75,Somfy Sonesse 40 RS485,Separate fascia,18,17
Evolve,44,Somfy Sonesse 40 RTS WF,Cassette,25,25
Evolve,44,Somfy Sonesse 40 RTS WF,Fascia,18,18
Evolve,44,Somfy Sonesse 40 RTS WF,None,25,25
Evolve,44,Somfy Sonesse 40 RTS WF,Separate cassette,23,23
Evolve,44,Somfy Sonesse 40 RTS WF,Separate fascia,18,18
Evolve,52,Somfy Sonesse 40 RTS WF,Cassette,25,25
Evolve,52,Somfy Sonesse 40 RTS WF,Fascia,18,18
Evolve,52,Somfy Sonesse 40 RTS WF,None,25,25
Evolve,52,Somfy Sonesse 40 RTS WF,Separate cassette,23,23
Evolve,52,Somfy Sonesse 40 RTS WF,Separate fascia,18,18
Evolve,65,Somfy Sonesse 40 RTS WF,Cassette,26,27
Evolve,65,Somfy Sonesse 40 RTS WF,Fascia,20,20
Evolve,65,Somfy Sonesse 40 RTS WF,None,26,27
Evolve,65,Somfy Sonesse 40 RTS WF,Separate cassette,24,25
Evolve,65,Somfy Sonesse 40 RTS WF,Separate fascia,20,20
Evolve,75,Somfy Sonesse 40 RTS WF,Cassette,26,27
Evolve,75,Somfy Sonesse 40 RTS WF,Fascia,20,20
Evolve,75,Somfy Sonesse 40 RTS WF,None,26,27
Evolve,75,Somfy Sonesse 40 RTS WF,Separate cassette,24,25
Evolve,75,Somfy Sonesse 40 RTS WF,Separate fascia,20,20
Evolve,44,Somfy Sonesse 40 RTS,Cassette,25,25
Evolve,44,Somfy Sonesse 40 RTS,Fascia,18,18
Evolve,44,Somfy Sonesse 40 RTS,None,25,25
Evolve,44,Somfy Sonesse 40 RTS,Separate cassette,23,23
Evolve,44,Somfy Sonesse 40 RTS,Separate fascia,18,18
Evolve,52,Somfy Sonesse 40 RTS,Cassette,25,25
Evolve,52,Somfy Sonesse 40 RTS,Fascia,18,18
Evolve,52,Somfy Sonesse 40 RTS,None,25,25
Evolve,52,Somfy Sonesse 40 RTS,Separate cassette,23,23
Evolve,52,Somfy Sonesse 40 RTS,Separate fascia,18,18
